reporting_period,reporting_date,customer_id,total_rentals,total_payment_amount
Day,2022-07-11,115,3,6.97
Day,2022-07-11,117,2,16.98
Day,2022-07-11,122,3,2.97
Day,2022-07-11,140,2,14.98
Day,2022-07-11,145,3,5.97
Day,2022-07-11,146,3,19.97
Day,2022-07-11,155,4,18.96
Day,2022-07-11,216,2,14.98
Day,2022-07-11,283,3,3.97
Day,2022-07-11,285,4,14.96
Day,2022-07-11,297,3,14.97
Day,2022-07-11,342,2,13.98
Day,2022-07-11,357,3,16.97
Day,2022-07-11,386,4,14.96
Day,2022-07-11,472,3,18.97
Day,2022-07-11,482,2,16.98
Day,2022-07-11,525,2,14.98
Day,2022-07-12,13,3,6.97
Day,2022-07-12,64,3,3.97
Day,2022-07-12,75,3,4.97
Day,2022-07-12,144,2,17.98
Day,2022-07-12,148,2,19.98
Day,2022-07-12,151,3,5.97
Day,2022-07-12,178,3,15.97
Day,2022-07-12,198,3,14.97
Day,2022-07-12,231,2,2.98
Day,2022-07-12,262,4,26.96
Day,2022-07-12,273,4,19.96
Day,2022-07-12,322,3,9.97
Day,2022-07-12,330,3,6.97
Day,2022-07-12,361,3,7.97
Day,2022-07-12,371,2,2.98
Day,2022-07-12,376,3,18.97
Day,2022-07-12,414,3,9.97
Day,2022-07-12,446,4,13.96
Day,2022-07-12,447,2,2.98
Day,2022-07-12,462,4,20.96
Day,2022-07-12,483,2,14.98
Day,2022-07-12,490,3,16.97
Day,2022-07-12,516,2,13.98
Day,2022-07-12,529,3,20.97
Day,2022-07-12,546,3,19.97
Day,2022-07-12,557,4,10.96
Day,2022-07-12,558,3,15.97
Day,2022-07-12,571,2,17.98
Day,2022-07-12,598,4,14.96
Day,2022-07-26,470,2,16.98
Day,2022-07-27,2,3,16.97
Day,2022-07-27,3,2,16.98
Day,2022-07-27,31,4,11.96
Day,2022-07-27,34,3,6.97
Day,2022-07-27,38,3,16.97
Day,2022-07-27,58,2,14.98
Day,2022-07-27,60,3,5.97
Day,2022-07-27,64,3,5.97
Day,2022-07-27,88,2,14.98
Day,2022-07-27,106,3,9.97
Day,2022-07-27,110,3,4.97
Day,2022-07-27,121,3,4.97
Day,2022-07-27,154,3,14.97
Day,2022-07-27,172,4,16.96
Day,2022-07-27,176,4,13.96
Day,2022-07-27,179,3,16.97
Day,2022-07-27,198,4,10.96
Day,2022-07-27,209,3,15.97
Day,2022-07-27,218,2,13.98
Day,2022-07-27,233,2,13.98
Day,2022-07-27,240,3,18.97
Day,2022-07-27,245,4,16.96
Day,2022-07-27,252,3,6.97
Day,2022-07-27,257,5,18.95
Day,2022-07-27,260,2,2.98
Day,2022-07-27,285,2,16.98
Day,2022-07-27,286,4,9.96
Day,2022-07-27,307,2,13.98
Day,2022-07-27,316,4,15.96
Day,2022-07-27,332,4,24.96
Day,2022-07-27,352,4,22.96
Day,2022-07-27,354,3,4.97
Day,2022-07-27,366,3,9.97
Day,2022-07-27,370,2,14.98
Day,2022-07-27,373,3,5.97
Day,2022-07-27,380,4,15.96
Day,2022-07-27,406,4,23.96
Day,2022-07-27,410,3,15.97
Day,2022-07-27,411,3,5.97
Day,2022-07-27,423,5,24.95
Day,2022-07-27,426,2,15.98
Day,2022-07-27,450,3,4.97
Day,2022-07-27,462,2,15.98
Day,2022-07-27,469,2,13.98
Day,2022-07-27,498,3,16.97
Day,2022-07-27,508,3,17.97
Day,2022-07-27,524,2,13.98
Day,2022-07-27,526,4,16.96
Day,2022-07-27,562,3,9.97
Day,2022-07-27,564,1,10.99
Day,2022-07-27,582,4,20.96
Day,2022-07-27,591,4,20.96
Day,2022-07-27,592,3,9.97
Day,2022-07-27,595,4,14.96
Day,2022-07-28,1,4,11.96
Day,2022-07-28,3,4,24.96
Day,2022-07-28,10,3,14.97
Day,2022-07-28,30,4,19.96
Day,2022-07-28,40,3,5.97
Day,2022-07-28,75,3,5.97
Day,2022-07-28,78,3,15.97
Day,2022-07-28,86,1,10.99
Day,2022-07-28,89,4,15.96
Day,2022-07-28,100,3,7.97
Day,2022-07-28,123,4,12.96
Day,2022-07-28,137,2,13.98
Day,2022-07-28,148,4,20.96
Day,2022-07-28,177,2,2.98
Day,2022-07-28,182,3,14.97
Day,2022-07-28,187,2,15.98
Day,2022-07-28,232,4,11.96
Day,2022-07-28,237,3,16.97
Day,2022-07-28,253,3,6.97
Day,2022-07-28,285,2,14.98
Day,2022-07-28,300,3,18.97
Day,2022-07-28,320,4,15.96
Day,2022-07-28,332,2,15.98
Day,2022-07-28,343,2,15.98
Day,2022-07-28,347,4,15.96
Day,2022-07-28,356,3,6.97
Day,2022-07-28,372,3,15.97
Day,2022-07-28,389,2,13.98
Day,2022-07-28,392,3,5.97
Day,2022-07-28,407,4,22.96
Day,2022-07-28,423,2,13.98
Day,2022-07-28,436,2,15.98
Day,2022-07-28,443,2,18.98
Day,2022-07-28,459,4,22.96
Day,2022-07-28,461,3,4.97
Day,2022-07-28,462,4,19.96
Day,2022-07-28,467,3,17.97
Day,2022-07-28,475,3,15.97
Day,2022-07-28,477,1,10.99
Day,2022-07-28,481,2,14.98
Day,2022-07-28,488,3,6.97
Day,2022-07-28,491,2,14.98
Day,2022-07-28,499,4,13.96
Day,2022-07-28,502,3,14.97
Day,2022-07-28,504,3,9.97
Day,2022-07-28,509,4,22.96
Day,2022-07-28,510,2,18.98
Day,2022-07-28,523,2,2.98
Day,2022-07-28,533,3,14.97
Day,2022-07-28,566,4,13.96
Day,2022-07-28,577,3,21.97
Day,2022-07-28,591,3,9.97
Day,2022-07-29,11,2,2.98
Day,2022-07-29,13,2,14.98
Day,2022-07-29,39,4,19.96
Day,2022-07-29,49,1,10.99
Day,2022-07-29,51,3,6.97
Day,2022-07-29,71,5,18.95
Day,2022-07-29,98,3,16.97
Day,2022-07-29,101,3,7.97
Day,2022-07-29,108,3,15.97
Day,2022-07-29,114,2,15.98
Day,2022-07-29,118,3,16.97
Day,2022-07-29,131,2,15.98
Day,2022-07-29,148,4,18.96
Day,2022-07-29,157,5,12.95
Day,2022-07-29,167,3,4.97
Day,2022-07-29,168,4,12.96
Day,2022-07-29,173,3,16.97
Day,2022-07-29,178,3,14.97
Day,2022-07-29,181,2,15.98
Day,2022-07-29,196,3,3.97
Day,2022-07-29,233,3,9.97
Day,2022-07-29,238,3,16.97
Day,2022-07-29,245,2,17.98
Day,2022-07-29,260,3,5.97
Day,2022-07-29,265,3,9.97
Day,2022-07-29,274,3,14.97
Day,2022-07-29,280,5,20.95
Day,2022-07-29,282,3,7.97
Day,2022-07-29,336,3,16.97
Day,2022-07-29,340,4,15.96
Day,2022-07-29,346,4,22.96
Day,2022-07-29,354,3,18.97
Day,2022-07-29,362,4,11.96
Day,2022-07-29,372,4,13.96
Day,2022-07-29,401,3,14.97
Day,2022-07-29,412,3,18.97
Day,2022-07-29,418,3,17.97
Day,2022-07-29,441,4,15.96
Day,2022-07-29,446,4,17.96
Day,2022-07-29,459,2,20.98
Day,2022-07-29,462,3,7.97
Day,2022-07-29,467,2,13.98
Day,2022-07-29,470,2,15.98
Day,2022-07-29,477,3,15.97
Day,2022-07-29,487,3,9.97
Day,2022-07-29,513,4,25.96
Day,2022-07-29,533,3,6.97
Day,2022-07-29,561,1,10.99
Day,2022-07-29,563,4,22.96
Day,2022-07-29,566,5,17.95
Day,2022-07-29,582,3,15.97
Day,2022-07-29,588,4,13.96
Day,2022-07-30,2,5,30.95
Day,2022-07-30,11,2,16.98
Day,2022-07-30,17,4,21.96
Day,2022-07-30,23,2,15.98
Day,2022-07-30,38,3,5.97
Day,2022-07-30,57,3,3.97
Day,2022-07-30,75,3,15.97
Day,2022-07-30,82,3,19.97
Day,2022-07-30,102,3,7.97
Day,2022-07-30,105,4,22.96
Day,2022-07-30,125,3,15.97
Day,2022-07-30,128,3,14.97
Day,2022-07-30,137,4,20.96
Day,2022-07-30,142,3,16.97
Day,2022-07-30,144,4,17.96
Day,2022-07-30,172,3,15.97
Day,2022-07-30,181,3,19.97
Day,2022-07-30,203,1,10.99
Day,2022-07-30,213,3,14.97
Day,2022-07-30,220,2,18.98
Day,2022-07-30,221,2,14.98
Day,2022-07-30,232,3,14.97
Day,2022-07-30,259,3,21.97
Day,2022-07-30,267,3,15.97
Day,2022-07-30,276,4,16.96
Day,2022-07-30,302,3,19.97
Day,2022-07-30,322,3,14.97
Day,2022-07-30,329,4,7.96
Day,2022-07-30,333,2,15.98
Day,2022-07-30,337,2,14.98
Day,2022-07-30,356,3,14.97
Day,2022-07-30,371,2,13.98
Day,2022-07-30,373,3,14.97
Day,2022-07-30,406,5,11.95
Day,2022-07-30,424,5,23.95
Day,2022-07-30,447,3,17.97
Day,2022-07-30,448,1,10.99
Day,2022-07-30,453,2,13.98
Day,2022-07-30,473,2,13.98
Day,2022-07-30,479,2,14.98
Day,2022-07-30,484,2,15.98
Day,2022-07-30,485,4,17.96
Day,2022-07-30,487,3,14.97
Day,2022-07-30,494,3,17.97
Day,2022-07-30,522,5,29.95
Day,2022-07-30,544,2,15.98
Day,2022-07-30,549,2,17.98
Day,2022-07-30,557,4,12.96
Day,2022-07-30,567,2,14.98
Day,2022-07-30,569,3,9.97
Day,2022-07-30,593,2,13.98
Day,2022-07-30,595,4,11.96
Day,2022-07-31,19,2,17.98
Day,2022-07-31,27,3,18.97
Day,2022-07-31,28,4,15.96
Day,2022-07-31,30,3,4.97
Day,2022-07-31,50,5,26.95
Day,2022-07-31,63,5,13.95
Day,2022-07-31,64,4,14.96
Day,2022-07-31,68,3,16.97
Day,2022-07-31,79,3,9.97
Day,2022-07-31,112,4,17.96
Day,2022-07-31,128,3,9.97
Day,2022-07-31,129,4,26.96
Day,2022-07-31,137,3,14.97
Day,2022-07-31,138,4,16.96
Day,2022-07-31,143,2,2.98
Day,2022-07-31,160,3,6.97
Day,2022-07-31,162,3,14.97
Day,2022-07-31,196,4,27.96
Day,2022-07-31,199,4,15.96
Day,2022-07-31,230,3,17.97
Day,2022-07-31,237,4,10.96
Day,2022-07-31,244,3,15.97
Day,2022-07-31,261,3,14.97
Day,2022-07-31,272,1,10.99
Day,2022-07-31,295,3,18.97
Day,2022-07-31,311,2,13.98
Day,2022-07-31,326,3,6.97
Day,2022-07-31,342,4,12.96
Day,2022-07-31,363,2,13.98
Day,2022-07-31,377,3,14.97
Day,2022-07-31,380,1,10.99
Day,2022-07-31,388,3,6.97
Day,2022-07-31,425,3,4.97
Day,2022-07-31,426,1,10.99
Day,2022-07-31,441,3,15.97
Day,2022-07-31,475,3,9.97
Day,2022-07-31,484,2,13.98
Day,2022-07-31,519,5,23.95
Day,2022-07-31,526,3,14.97
Day,2022-07-31,538,3,18.97
Day,2022-07-31,555,2,15.98
Day,2022-07-31,573,4,24.96
Day,2022-07-31,576,5,21.95
Day,2022-07-31,578,3,14.97
Day,2022-07-31,587,3,17.97
Day,2022-07-31,594,3,16.97
Day,2022-07-31,595,3,18.97
Day,2022-08-01,7,4,22.96
Day,2022-08-01,12,1,10.99
Day,2022-08-01,39,4,20.96
Day,2022-08-01,46,3,15.97
Day,2022-08-01,49,3,6.97
Day,2022-08-01,75,3,14.97
Day,2022-08-01,78,3,14.97
Day,2022-08-01,80,3,16.97
Day,2022-08-01,86,3,20.97
Day,2022-08-01,106,3,20.97
Day,2022-08-01,113,2,2.98
Day,2022-08-01,127,1,10.99
Day,2022-08-01,129,5,14.95
Day,2022-08-01,132,4,22.96
Day,2022-08-01,135,3,7.97
Day,2022-08-01,147,2,16.98
Day,2022-08-01,161,4,16.96
Day,2022-08-01,174,3,16.97
Day,2022-08-01,176,3,6.97
Day,2022-08-01,181,5,26.95
Day,2022-08-01,188,4,16.96
Day,2022-08-01,197,4,12.96
Day,2022-08-01,199,2,13.98
Day,2022-08-01,209,3,14.97
Day,2022-08-01,242,3,15.97
Day,2022-08-01,253,3,14.97
Day,2022-08-01,258,5,20.95
Day,2022-08-01,270,3,18.97
Day,2022-08-01,273,3,19.97
Day,2022-08-01,274,2,2.98
Day,2022-08-01,278,3,9.97
Day,2022-08-01,294,4,19.96
Day,2022-08-01,309,3,6.97
Day,2022-08-01,334,3,9.97
Day,2022-08-01,340,4,16.96
Day,2022-08-01,357,4,13.96
Day,2022-08-01,369,3,7.97
Day,2022-08-01,375,5,14.95
Day,2022-08-01,385,3,9.97
Day,2022-08-01,394,3,6.97
Day,2022-08-01,397,3,7.97
Day,2022-08-01,420,3,20.97
Day,2022-08-01,427,3,15.97
Day,2022-08-01,445,2,2.98
Day,2022-08-01,449,4,21.96
Day,2022-08-01,459,4,22.96
Day,2022-08-01,460,1,10.99
Day,2022-08-01,469,4,15.96
Day,2022-08-01,476,3,21.97
Day,2022-08-01,487,4,22.96
Day,2022-08-01,493,2,14.98
Day,2022-08-01,522,4,18.96
Day,2022-08-01,529,1,10.99
Day,2022-08-01,554,2,14.98
Day,2022-08-01,560,3,17.97
Day,2022-08-01,564,3,9.97
Day,2022-08-01,565,1,10.99
Day,2022-08-01,568,3,4.97
Day,2022-08-02,2,4,16.96
Day,2022-08-02,15,4,11.96
Day,2022-08-02,26,3,7.97
Day,2022-08-02,45,4,20.96
Day,2022-08-02,60,2,13.98
Day,2022-08-02,65,3,19.97
Day,2022-08-02,77,3,4.97
Day,2022-08-02,78,1,10.99
Day,2022-08-02,84,3,16.97
Day,2022-08-02,98,3,6.97
Day,2022-08-02,138,3,6.97
Day,2022-08-02,144,3,14.97
Day,2022-08-02,146,4,17.96
Day,2022-08-02,148,1,10.99
Day,2022-08-02,158,4,15.96
Day,2022-08-02,190,4,24.96
Day,2022-08-02,197,4,17.96
Day,2022-08-02,207,3,9.97
Day,2022-08-02,211,2,13.98
Day,2022-08-02,220,3,9.97
Day,2022-08-02,225,4,13.96
Day,2022-08-02,234,4,17.96
Day,2022-08-02,237,2,16.98
Day,2022-08-02,245,3,2.97
Day,2022-08-02,266,3,16.97
Day,2022-08-02,326,4,13.96
Day,2022-08-02,349,3,18.97
Day,2022-08-02,361,4,15.96
Day,2022-08-02,371,1,10.99
Day,2022-08-02,372,2,14.98
Day,2022-08-02,383,3,6.97
Day,2022-08-02,403,4,21.96
Day,2022-08-02,407,3,17.97
Day,2022-08-02,410,3,18.97
Day,2022-08-02,413,3,6.97
Day,2022-08-02,417,3,15.97
Day,2022-08-02,418,4,11.96
Day,2022-08-02,419,4,13.96
Day,2022-08-02,445,2,17.98
Day,2022-08-02,451,3,16.97
Day,2022-08-02,468,1,10.99
Day,2022-08-02,473,4,16.96
Day,2022-08-02,502,5,12.95
Day,2022-08-02,513,3,9.97
Day,2022-08-02,531,4,26.96
Day,2022-08-02,540,4,24.96
Day,2022-08-02,547,4,14.96
Day,2022-08-02,552,3,14.97
Day,2022-08-02,565,3,14.97
Day,2022-08-02,572,4,13.96
Day,2022-08-02,597,4,16.96
Day,2022-08-16,264,3,7.97
Day,2022-08-16,526,1,10.99
Day,2022-08-17,5,2,13.98
Day,2022-08-17,27,3,21.97
Day,2022-08-17,69,3,9.97
Day,2022-08-17,72,4,13.96
Day,2022-08-17,77,2,14.98
Day,2022-08-17,80,2,2.98
Day,2022-08-17,112,3,16.97
Day,2022-08-17,113,2,13.98
Day,2022-08-17,125,4,15.96
Day,2022-08-17,126,3,9.97
Day,2022-08-17,136,1,10.99
Day,2022-08-17,146,3,17.97
Day,2022-08-17,178,3,17.97
Day,2022-08-17,198,6,22.94
Day,2022-08-17,207,2,13.98
Day,2022-08-17,270,3,6.97
Day,2022-08-17,272,3,16.97
Day,2022-08-17,283,3,4.97
Day,2022-08-17,303,3,6.97
Day,2022-08-17,319,5,16.95
Day,2022-08-17,321,3,17.97
Day,2022-08-17,350,3,14.97
Day,2022-08-17,388,3,4.97
Day,2022-08-17,391,3,7.97
Day,2022-08-17,403,3,9.97
Day,2022-08-17,435,3,5.97
Day,2022-08-17,448,2,18.98
Day,2022-08-17,465,3,16.97
Day,2022-08-17,499,3,14.97
Day,2022-08-17,515,3,15.97
Day,2022-08-17,516,2,2.98
Day,2022-08-17,535,2,16.98
Day,2022-08-17,536,3,16.97
Day,2022-08-17,554,4,20.96
Day,2022-08-17,555,4,15.96
Day,2022-08-17,563,2,2.98
Day,2022-08-17,566,2,2.98
Day,2022-08-17,573,3,9.97
Day,2022-08-18,28,3,6.97
Day,2022-08-18,29,4,21.96
Day,2022-08-18,30,3,6.97
Day,2022-08-18,34,3,6.97
Day,2022-08-18,44,3,15.97
Day,2022-08-18,46,4,15.96
Day,2022-08-18,47,2,15.98
Day,2022-08-18,75,5,14.95
Day,2022-08-18,78,2,13.98
Day,2022-08-18,87,3,15.97
Day,2022-08-18,117,3,14.97
Day,2022-08-18,121,3,7.97
Day,2022-08-18,172,2,13.98
Day,2022-08-18,186,2,14.98
Day,2022-08-18,187,3,26.97
Day,2022-08-18,247,3,17.97
Day,2022-08-18,266,4,17.96
Day,2022-08-18,276,3,15.97
Day,2022-08-18,292,1,10.99
Day,2022-08-18,297,1,10.99
Day,2022-08-18,347,2,13.98
Day,2022-08-18,365,3,16.97
Day,2022-08-18,371,2,17.98
Day,2022-08-18,373,3,14.97
Day,2022-08-18,388,4,17.96
Day,2022-08-18,394,2,14.98
Day,2022-08-18,397,6,14.94
Day,2022-08-18,404,2,14.98
Day,2022-08-18,419,2,13.98
Day,2022-08-18,459,2,14.98
Day,2022-08-18,462,3,14.97
Day,2022-08-18,467,3,15.97
Day,2022-08-18,470,3,23.97
Day,2022-08-18,474,4,13.96
Day,2022-08-18,489,2,13.98
Day,2022-08-18,514,4,13.96
Day,2022-08-18,520,3,16.97
Day,2022-08-18,535,5,11.95
Day,2022-08-18,545,3,16.97
Day,2022-08-18,575,3,22.97
Day,2022-08-18,584,3,17.97
Day,2022-08-18,591,4,21.96
Day,2022-08-19,13,4,14.96
Day,2022-08-19,15,2,14.98
Day,2022-08-19,21,4,21.96
Day,2022-08-19,23,3,14.97
Day,2022-08-19,24,3,7.97
Day,2022-08-19,104,4,11.96
Day,2022-08-19,128,4,10.96
Day,2022-08-19,131,4,18.96
Day,2022-08-19,133,3,9.97
Day,2022-08-19,140,1,10.99
Day,2022-08-19,148,2,13.98
Day,2022-08-19,150,5,21.95
Day,2022-08-19,171,4,14.96
Day,2022-08-19,176,2,13.98
Day,2022-08-19,181,4,15.96
Day,2022-08-19,206,3,18.97
Day,2022-08-19,214,3,15.97
Day,2022-08-19,242,2,14.98
Day,2022-08-19,254,4,13.96
Day,2022-08-19,257,5,20.95
Day,2022-08-19,267,2,14.98
Day,2022-08-19,279,4,18.96
Day,2022-08-19,280,3,20.97
Day,2022-08-19,288,3,6.97
Day,2022-08-19,289,4,17.96
Day,2022-08-19,311,3,5.97
Day,2022-08-19,340,3,7.97
Day,2022-08-19,356,4,14.96
Day,2022-08-19,373,3,9.97
Day,2022-08-19,387,3,15.97
Day,2022-08-19,405,2,2.98
Day,2022-08-19,410,2,13.98
Day,2022-08-19,414,5,17.95
Day,2022-08-19,430,4,9.96
Day,2022-08-19,434,2,17.98
Day,2022-08-19,436,2,17.98
Day,2022-08-19,442,3,9.97
Day,2022-08-19,451,4,8.96
Day,2022-08-19,456,2,13.98
Day,2022-08-19,462,2,13.98
Day,2022-08-19,480,3,15.97
